symptoms,treatment
叶子发皱，枯黄,如果叶子有发皱、老叶子枯黄的现象，要看看是否是长期没有浇水，或者浇水不足引发的黄叶萎蔫。如果是缺水造成的叶子萎蔫，常常在浇水以后，很快就可以恢复，叶子会马上变得饱满。浇水以后，若叶子还是处于萎蔫状态，就要看看是不是烂根了。
叶子整体淡黄瘦弱,造成此类现象极大可能是缺少光照。不管什么植物，都需要一定的阳光来进行光合作用。喜阴花卉可以放在光线明亮的地方，喜阳花卉可以放在日照足的地方，如果一直放在室内光线很差的地方，比如暗卫生间、厨房等处，基本的光照都不能保证，叶子就很容易出现整株发黄暗淡的问题，此时植物也瘦弱无力，易枯萎死亡。可以调整摆放位置，或者每月放在有散射光的地方，补充一定的日照。
叶子有黄斑干尖,造成此类现象有可能是因为日照过强。很多花卉不耐晒，放在光线明亮，或者有散射光的地方就好了，如果放在日照比较足的地方，叶子反而会出现干尖枯黄的现象。比如绿萝、吊兰等花卉，平常放在室内栽培，土壤放到阳台日照比较足的地方，就很容易黄叶干尖。需要及时调整好摆放位置。
新叶黄，老叶绿,造成此类现象可能是因为盆土过碱。家里头养上一些喜酸性生长环境的花卉，比如栀子花、茉莉、杜鹃，在碱性水土条件下，会对铁、磷的吸收产生影响，特别是北方碱性水土地区，经常性的黄叶，主要表现为老叶子绿，新叶发黄，叶脉常常也是绿色，最后枯萎死掉。可以通过定期浇点酸性肥水，比如硫酸亚铁、柠檬酸水等等，硫酸亚铁最好，不仅可以改善土壤环境，还能够补充铁肥，治疗黄叶。
叶子肥厚卷曲,造成此类现象有可能是因为施肥过多。平常给花草施肥，遵循薄肥勤施的原则。肥浇少了，可以多浇几次达到补肥的目的，但是浇多了肥，就会让盆内渗透压过大，造成植物脱水，枯死，产生肥害。表现为幼叶肥厚，有光泽，且凹凸不平，顶尖出现干褐色，老叶片焦黄，严重的老叶脱落。如果确实是这种原因需要用大水冲灌，如果严重的还要换土。
叶子长期黄瘦,造成此类现象可能是未换盆。家庭养花，如果发现花儿长期瘦小，不长叶子不开花，或者发现经常有黄叶烂根的问题，也不长新芽新叶，就要考虑下是不是长期没有换盆，导致花草长势差，生长环境不佳。一般换盆以后，基本上都可以解决。
叶子萎蔫,造成此类现象极有可能是被冻伤或者热伤。花卉叶子突然萎蔫，常常是由于温度急剧升高或者降低造成。夏季的时候，如果暴晒缺水，加上高温后蒸发强，叶子容易脱水，出现萎蔫干枯，最后枯死。一些不耐寒花卉，冬季的时候放在窗台边上，如果受冻，叶子一夜之间全部冻蔫，还会有冻伤的黑斑。平时养花需要多注意温度的变化，夏日遮阳冬天保暖。
新叶先黄，老叶枯萎脱落,造成此类现象有可能是因为缺少养分。如果长期不给花草施肥，植物容易因为缺少养分出现黄叶。表现为幼叶、嫩茎出现黄，老叶比较正常或逐渐由绿转黄。适当补充肥料后可以恢复。
老叶发黄，嫩叶暗淡，新梢萎缩,造成此类现象可能是因为浇水过多。养花如果出现老叶边缘发黄发枯、嫩叶暗黄色没有光泽，枝干细且为黄绿色，新梢生长异常萎缩，常常是由于浇水过多引发。也有些花卉叶子根部会溃烂、倒伏，很容易死亡。此时应该及时停止浇水，并放在通风好的地方，让水分加快散发。
叶片表面出现一层白色粉末状物质，严重时叶片扭曲变形,出现该类现象极有可能是得了白粉病，它会影响植物的光合作用。可以适当减少氮肥，增加磷钾肥，提高植株的抗病性。同时，可以使用杀菌剂如异菌脲等进行喷洒防治。
花瓣、叶片、果实上形成灰色霉层，并逐渐腐烂,出现该类现象极有可能是得了灰霉病，该病症在潮湿环境中易发，表现为花瓣、叶片、果实上形成灰色霉层，并逐渐腐烂。可以通过避免过度浇水，保持环境通风良好。及时清除病叶、病花，减少病原菌的扩散。可使用杀菌剂如腐霉利、嘧霉胺等进行防治。
叶片、茎部及果实，病斑呈圆形或不规则形，中央深褐色，边缘红褐色，后期病斑中心有黑色小点,出现该类现象有可能是得了炭疽病，该病症主要侵害叶片、茎部及果实，病斑呈圆形或不规则形，中央深褐色，边缘红褐色，后期病斑中心有黑色小点。此时需要加强通风，避免高温高湿的环境。及时清除病叶、病枝，减少病原菌的扩散。可使用杀菌剂如咪鲜胺、苯醚甲环唑等进行防治。
植株突然萎蔫，枝叶迅速失水变软，根部和茎基部常伴有恶臭气味。,出现该类现有有可能是得了青枯病，需要选择抗病品种，合理轮作，保证土壤清洁。发现病株后及时清除，并使用农用链霉素、氯溴异氰尿酸等药物进行灌根处理。
叶片出现黄色病斑，随后病斑扩大，中央部分坏死，形成黑褐色溃疡状病斑。,出现该类现象有可能是得了溃疡病，此时需要增强植物抵抗力，发现病株后及时清除。可选用铜制剂如氢氧化铜、波尔多液等进行喷雾防治。
根部被侵害导致植株生长受阻，初期根部出现褐色溃疡,出现该类症状时有可能是得了根腐病，随着病情加重，植株逐渐衰弱甚至死亡。需要选择抗病品种，保持土壤排水良好，避免过度浇水。发现病株后及时清除，并使用杀菌剂如恶霉灵、甲霜灵等进行灌根处理。
花叶出现白色粉末状的虫卵和虫体，叶片失去光泽，甚至造成花朵凋谢,出现该类症状是有可能出现了虫害，常见的花卉害虫包括白粉虱、红蜘蛛等，它们以吸食植物汁液为生，导致花叶出现白色粉末状的虫卵和虫体，叶片失去光泽，甚至造成花朵凋谢。此时需要采取物理措施如喷洒水冲洗，以去除害虫。也可以使用生物农药或化学农药进行防治，但需注意使用方法和安全间隔期。
表现为叶片变黄，尤其是下部叶片先黄，植株生长缓慢,出现该类症状有可能是因为缺氮。需要及时补充氮肥，如尿素、硫酸铵等。同时，改善土壤质地，提高土壤的保肥能力。
表现为叶片呈暗绿色，叶片背面出现紫色斑点，严重时植株矮小、生长缓慢。,出现该类症状有可能是因为缺磷。需要及时补充磷肥，如过磷酸钙、磷酸氢二钾等。同时，注意土壤pH值的调节，保持土壤呈微酸性或中性。
叶片边缘出现焦枯状，严重时叶片枯黄、卷曲。,出现该类症状有可能是因为缺钾。需要及时补充钾肥，如氯化钾、硫酸钾等。同时，加强植物的光照和通风，提高植物的抗病性。
